description,category,spec_pred,item_pred,item_extracted,spec_pred_fixed,category_fixed,spec_changed,category_changed
"True Online - Bring AI to Home: Cost of sound recording and mixing for Radio Spot 1 x 60 sec. Incl. music library and material release.
Excl. announcer fee and Thai script writing. Usage for 1 year in Thailand. Job no.3005204717-007",Advertising Production Service,item บริการสร้างสื่อโฆษณา,Sound Recording and Mixing,soundrecordingandmixing,item soundrecordingandmixing,Advertising Production Service,True,False
"TIDC - AWS Cloud Services on Apr 23
AWS Service - altervim prod in Apr23
Invoice no. 5526085865
Total: 40,634.93
VAT: 2,844.45",Others Specific Cloud Services,brand aws|item ค่าบริการคลาวด์|period 1m,AWS Cloud Services,ค่าบริการคลาวด์,brand aws|item ค่าบริการคลาวด์|period 1m,Others Specific Cloud Services,False,False
"INV.34443
Bibigo @Lotuss gofresh (Ad on : 24 Jul. 2025)
ตำแหน่ง Shelf Divider Static Non Pop up (CID : 2025/0744/M05E)w. 20 x h. 55 cm.สติกเกอร์ PVC พิมพ์อิงค์เจ็ทเคลือบใสรีดลงบน HIP หนา 2 มม. ทั้งด้านหน้าและหลัง ",Shelf Talker,brand -|item ป้ายติดเชลฟ์|model -|size -,Sticker,ป้ายติดเชลฟ์,brand bibigo|item ป้ายติดเชลฟ์|model inv.34443|size 20x55cm,Shelf Talker,True,False
Dell PowerEdge T30 S/N 44TZ172,Servers,brand dell|color -|cpu -|displaysize -|displaytechnology -|gpu -|item server|mainboard -|model poweredger30|os -|powersupply -|ramsize -|ramtype -|resolution -|storagesize -|storagetype -|warranty -,Dell PowerEdge T30,dellpoweredget30,brand dell|color -|cpu -|displaysize -|displaytechnology -|gpu -|item dellpoweredget30|mainboard -|model t30|os -|powersupply -|ramsize -|ramtype -|resolution -|storagesize -|storagetype -|warranty -,Servers,True,False
(PL) - Tao kae Last mile  model -  นาย ยุทธพิชัย จุ้ยชุ่ม (08 Sep - 28 Sep 25),Contracts,item ค่าใช้จ่ายที่เกี่ยวข้องกับสัญญา,Last mile service,lastmileservice,item lastmileservice,Contracts,True,False
"Creative Cloud All Apps - Pro for teams ALL
Multiple Platforms Multi Asian Languages Subscription New Monthly
1 User
For K.Kanittha Somboonworawong",Software,brand -|edition -|item software|licensetype subscription|model creativecloud|period 1m|version -,Creative Cloud Subscription,software,brand adobe|edition -|item software|licensetype subscription|model creativecloud|period 1m|version -,Software,True,False
"Dell Pro 14
Intel i7-150U
32GB 1x32GB DDR5
M2 512GB SSD 
14 FHD (1920 x 1080) 
Windows 11 Pro(64Bit) English
3 Yr ProSupport:Next Business Day Onsite Service
3 Yr warranty for battery
For K.Papichaya Moondab(leasing)",Laptops,"brand dell|color -|cpu intelcorei7-150u|displaysize 14""|displaytechnology -|gpu -|item laptop|model latitude3410|os windows11pro|ramsize 32gb|ramtype -|resolution fhd|storagesize 512gb|storagetype ssd|warranty 3y",โน้ตบุ๊ก,laptop,"brand dell|color -|cpu intelcorei7-150u|displaysize 14""|displaytechnology -|gpu -|item laptop|model -|os windows11pro|ramsize 32gb|ramtype ddr5|resolution fhd|storagesize 512gb|storagetype ssd|warranty 3y",Laptops,True,False
เช่าตู้  Rack รอบการใช้งาน 04/2025|Co-location - Premium Rack AB15 TURE IDC แจ้งวัฒนะ,Networking Services,item บริการเครือข่ายอินเทอร์เน็ต|period 1m,Co-location Rack,co-locationrack,item co-locationrack|period 1m,Networking Services,True,False
"BK6712-0181
Bibigo Ramayon
5.Bibigo Floor Sticker					
วัสดุ : สติ๊กเกอร์ 3MIJ16-10 เคลือบ Floor Sticker
ขนาด 80 x 30 CM.
-ไดคัตตามแบบ ",Other Stickers,brand -|coating -|color -|format -|item sticker|material paper|model 3mij16-10|piece -|shape -|size 80x30cm,Floor Sticker,sticker,brand bibigo|coating เคลือบ|color -|format -|item sticker|material สติ๊กเกอร์3mij16-10|model 3mij16-10|piece -|shape -|size 80x30cm,Other Stickers,True,False
CM25372165:Chiller System (เครื่องทำความเย็นขนาดใหญ่):ปรับปรุงซ่อมแซม,Refrigeration Installation And Maintenance And Repair Services,item ซ่อมเครื่องทําความเย็นขนาดใหญ่,Chiller System,ซ่อมเครื่องทำความเย็นขนาดใหญ่,item ซ่อมเครื่องทำความเย็นขนาดใหญ่,Refrigeration Installation And Maintenance And Repair Services,True,False
