description,category,spec_pred
"ค่าทัวร์ จำนวน 104 ที่นั่งๆละ 25,400 บาท เป็นเงินทั้งหมด 2,641,600 บาท ชำระงวดที่ 2 (ส่วนที่เหลือทั้งหมด) จำนวน 70% เป็นจำนวนเงิน 1,849,120 บาท; No.11/08775",Hotel Services,item -
็Hygiens Station เครื่่องล้างรองเท้าบู๊ท,Shoemaking Machine Parts,
ก่อสร้าง 14535 101 The Third Place (2),Shops,item -
ก่อสร้าง 22739 สุขสวัสดิ์ 70 แยก 21(2),Shops,item -
Top เสริมสีครีม SVS (ราคาต่อตารางเมตร),Laminated Wood Boards / Blockboards,
อุปกรณ์ซ่อมแซมที่ใช้จริง,Counters,
เดอะ วอลท์ ดิสนีย์ Licensee BL250322,Other Energy Related Products,brand -|calorific -|item -|model bl250322|moisturerange -|piece -|weight -
เดอะ วอลท์ ดิสนีย์ Licensee BL250321,Other Energy Related Products,brand -|calorific -|item -|model bl250321|moisturerange -|piece -|weight -
(TW)   CS_Lotus's Ban Bueng_Mall Extension  >  M&E  work  > SERVICES INFRASTRUCTURE_PRELIMINARIES,Construction Services,item -
Service for Patch & Label & Transportation,Telephone And Communication Cable Laying Service,
Rotary drum screen - Internal fed,Sieves,
ชุดไฟ LED ใต้แผ่นชั้น W87cm.,Smart Home Lights,
Modbus Gateways (Air)-IoT ;1571;0001;117,Modbus Rtu Gateway Modules,
งานปรับปรุงห้อง War room,Building Maintenance And Repair Services,item 
ก่อสร้าง 23299 ประชาราษฎร์ สาย 2 เก(2),Shops,item -
(PT)[FMST610] Imp. Roof Leak : SLH ROOF : H#10007 Pooled Hypermarket,Roofing Service,item -
ตู้ 3ACLUSC,Counters,
Atomic Absorption Spectrophotometer,Spectrometers,
ซานาคอร์/กก.:,Pasta,brand -|item -|model -|piece -|weight -
งานก่อสร้างบ้านพักกักโรคคนงาน 9.70x14M.,Construction Services,item 
Support New Store / Support Renovate Express Province,Other Computer Accessories,brand -|item -|model -
เครื่องติดสติ๊กเกอร์พร้อมสายพานระบบฟีด,Other Printers,
Bone Sawing Machine Model DRB-ATJG150B,Other Food Processing Machinery,brand -|item -|model -
(TK) My Lotus's Member Month Hypermarket (6806-0743),Other Business Services,item -
งานขุดปรับปรุงคืนสภาพลำเหมืองสาธารณะให้แก่เทศบาล,Mine Loading And Discharging Station Construction Service,
Custom made เครื่องวัดความหนา2 แกน,Width Measuring Instruments,
"40"" ALUMINUM FRONT STRIP WBA4000",Aluminum Strips,
ติดตั้งระบบสายพาน,Conveyance Systems Installation And Repair,item -
เรด 2214 /กก.:,Other Grain,brand -|item |model เรด2214|piece -|weight -
"Steviol Glycosides,STEVIOL GLYCOSIDES",Other Organic Chemical,
ค่าเช่าคอมพิวเตอร์,Computer Hardware Rental Or Leasing Services,
ตู้ 36BSC 61-80 cm.,Counters,
งานติดตั้ง Feed Water Tank,Machinery Service,item 
ก่อสร้าง 22793 ถนนเทศบาล ซ. 25 บ้าน(3),Shops,item -
501812-03-006_ใบปั่นขน OFM-5M (พร้อมบ [],Paper Machinery Parts,
"2.9"" Electronic Shelf Label Black-White-Red",Labelers,
"SK_50408 H04F50408C1 CUTTER SET3,SKK3-50408 H04F50408C1 CUTTER SET3",Other Welding & Soldering Supplies,
ค่าสมทบงานระบบ,Specialty Building And Trades Services,
Level Switch E+H FTE30-EA1A,Switches,
ก่อสร้าง 23134 ราษฎร์บูรณะ 13(1),Shops,item -
ตู้ควบคุมการเจริญเติบโตของพืช,Agricultural Greenhouses,
"4D2219-14 MIXING INSERT, V-MC [STEMI728]",Turning Tool,
ALOE VERA INNER SPUNBOND NONWOVEN WHITE COLOR:,Nonwoven Fabric,
Maintenance Contract of Air condition System for February 2025,Air Conditioning Installation Or Maintenance Or Repair Service,item -
(SS) S.T.M Pro service Agency service charges for 1-30 April'25,Other Agency Services,item -|period 1m
ชุดป้องกันการตก Life line HORIZON AS4000,Other Water Safety Products,
เดอะ วอลท์ ดิสนีย์ Licensee BL250318,Other Energy Related Products,brand -|calorific -|item -|model bl250318|moisturerange -|piece -|weight -
ก่อสร้าง 14535 101 The Third Place (1),Shops,item -
Big Flies_Buffet Durian 2025 for 7 Stores_Marketing Expense,Fresh Durians,
11053 GN 1/2 ECO  23L - BLACK COLOR Outer : 390*330*320 mm.,Other Tableware,
"1000ul Wide Bore1.2mm sterile 3,840tips",Centrifuge Tubes,
ก่อสร้าง 22739 สุขสวัสดิ์ 70 แยก 21(1),Shops,item -
งานเพิ่ม 22622 คลองสาม 2/1(1),Shops,item -
คอกพ่อพันธุ์พร้อมระบบน้ำกิน 2.3x3.1m.,Agricultural Plastic Products,application -|brand -|color -|item -|model -|size -|thickness -
ค่าบริการจัดเก็บสินค้า,Freight Fee,
งานต่อเติมหลังคาห้องเตรียม Package,Roofing Service,item -
ขาวางคอล์ยร้อน Open showase (เหล็กฉาก),Refrigerator Parts,application -|brand -|color ขาวางคอล์ยร้อน|compatibility ตู้แช่เย็นเปิดหน้า|item -|material -|model -|piece -|size -
ชุดทดสอบ - ยาฆ่าแมลง10 ชุด/300 ตัวอย่าง,House-service Detector Tester,
รถยูโรบิน ไทยแมคเทค 640x640mm,Excavator Wheels,
เดอะ วอลท์ ดิสนีย์ Licensee 01- 31 Jul 2025 BL250402,Other Energy Related Products,brand -|calorific -|item -|model -|moisturerange -|piece -|weight -
โครงสร้างเครื่องนับลูกกุ้ง AQ-SH- 02-05,Counters,
(TW)(FMRE11C) Consultant fee Automatic Voltage Regulator of Energy Project Y2025 : S#15003 Supermarket_ET&OT (Pooled),Other Consulting,item -
งานติดตั้งระบบ Pick to Light DCSBx,Standby Or Emergency Power Installation Service,
NGS Workstation Bioentist,Other School Furniture,
St.001 Construction work for RC Road,Construction Services,item -
เครื่องกำจัดสิ่งแปลกปลอมม,Electric Mops,
ก่อสร้าง 23299 ประชาราษฎร์ สาย 2 เก(1),Shops,item -
"1000028956;6800;SERVICE,COPY,MACHINE,RICOH,MP301SPF;;",Copiers,
เครื่องอบเมล็ดพันธุ์ ขนาด 5 ตัน,Biomass Dryers,
"Wild Flower Honey,น้ำผึ้งดอกไม้ป่า",Honey,
S เฟอร์เสริมพิเศษ,Counters,
งานจ้างเหมาบริการพนักงานขับรถยนต์,Other Service Equipment,
Color Click Charge for A4,Copiers,
"S&M -โครงสร้างเสาสแตนเลส,S&M -โครงสร้างเสาสแตนเลส",Flag Pole Erection Service,
(MP)Lotus's Eat Maintenance service ,Food Processing,item -
หม้อทอด digital Airflyer Philips ;1493;0,Smart Air Fryers,
SINGLE METAL NOSE WIRE:,Other Hardware,
Lineator Conversion Kit for 7726SW,Other Watch Accessories,
Automatic Labeling Machine and Feeder,Auxiliary Packaging Machines,
"ค่าบริการจัดเก็บขยะทั่วไป,ค่าบริการจัดเก็บขยะทั่วไป",Garbage Collection Or Destruction Or Processing Or Disposal,
งานเป่าล้างบ่อบาดาล,Other Service Equipment,
"Steel Bolload_50xH120cm. (Steel Pipe4"")",Other Steel Pipes,
"MBS1003S100J7 PSS Porous Metal Filter30"",MBS1003S100J7 PSS POROUS METAL FILTER30""",Filter Meshes,
"FIBER RACEWAY
600 mm width 100mm height; Yellow PVC material with Cover",Speed Bumps,
ค่าแรงติดตั้งระบบไฟฟ้าแสงสว่าง,Other Service Equipment,
Vibrator control 142 [64730899],Other Motor Accessories,
เต็นท์สกรีนพับได้(จัดกิจกรรม),Other Tent,
"ค่าเช่าอุปกรณ์ทั่วไป,ค่าเช่าอุปกรณ์ทั่วไป",Commercial Or Industrial Facility Rental,
ตู้ 29PSUC,Counters,
Advanced Maintenance Sercive,Other Processing Services,
ก่อสร้าง 23134 ราษฎร์บูรณะ 13(3),Shops,item -
[SV] ชุดควบคุมกระแสไฟฟ้าเครื่อง Defrost,Thawing Equipment,
PSC Patition,Counters,
"Automatic Ball Cleaning Machine,AUTOMATIC BALL CLEANING MACHINE",Other Home Product Making Machinery,
รถตัดหญ้าแบบนั่งขับ Lawn Mower 26HP,Brush Cutters,brand -|electricpower -|enginetype -|horsepower 26|item -|model -|size -
เดอะ วอลท์ ดิสนีย์ Licensee BL250320,Other Energy Related Products,brand -|calorific -|item -|model bl250320|moisturerange -|piece -|weight -
ค่าบริหารจัดการฟิตเนสและสระว่ายน้ำ,Cleaning Services For Parks And Outdoor Public Venues,
(PY) ค่าซื้อโฆษณา My Lotus`s 2025_Hyper บน Facebook_Aug`25_BB2025080489,Internet Advertising,brand -|item -|type -
งานโครงสร้างรับผนัง และฝ้าช่องรับน้ำแข็ง,Construction Services,item -
ตู้ GP160Z,Counters,
IN2025-01053 งานติดตั้ง Background ตัวอักษร CPAXTRA,Sign Installation And Maintenance Service,item 
"(YS) CS_Add Main Work NS MNS #3628 At Narong Market, Bangkok.(CE) (VOA01-04)",Construction Services,item -
(AT)Warehouse Space cost for Hub & Spoke  on  March'25 charges HUB BANGNA 77834/05076,Warehouse Services,brand -|item -|period -
(AT)Warehouse Space cost for Hub & Spoke  on  January'25 charges HUB BANGNA 77834/05076,Warehouse Services,brand -|item -|period -
(PL)Warehouse Space cost for Hub & Spoke  on May'25 charges HUB BANGNA 77834/05076,Warehouse Services,brand -|item -|period -
ตู้ G1HLDZ,Counters,
(MT)[FMRT100] CM24010060_Improve Phylon/Building Sign Lighting  : H#10067 Phuket,Lighting Maintenance Services,item -
Column Load SS304 300Kg [Custom made],Force Sensors & Load Cells,brand -|capacity 300kg|item -|model -|output -|shape -|type -
งานก่อสร้างห้องเก็บของ:,Commercial And Office Building Construction Services,item -
ก่อสร้าง 14535 101 The Third Place (3),Shops,item -
"Retouch key visual, prepaid migrant OOH: Retouch and recompose x 14 versions; Job No. : CSQ2502-058",Outdoor Advertising,item -
ผ้าใย,Other Fiber,
งานติดตั้งแสลนคลุมบ่อ,Shade Sails & Nets,brand -|color -|item -|material -|model -|shadingrate -|shape -|size -|waterproof -
อุปกรณ์การนับสินค้า Protrax,Counters,
ก่อสร้าง 22739 สุขสวัสดิ์ 70 แยก 21(3),Shops,item -
Cupdis L (เฟอร์นิเจอร์),Other Furniture Parts,
ชุดโต๊ะรับประทานอาหาร,Other Dining Room Furniture,
"10.2"" Electronic Shelf Label Black-White-Red",Labelers,
Industrial 3D Vision System,Industrial Camera,
"32 mm Infusion rubber stopper,grey",Medical Rubber,
ค่าขนส่ง Fresh DC Lampoon 16-31/01/2025_All Now Logistics_ออลล์ นาว โลจิสติกส์,Road Freight,item -
งานระบบไฟฟ้าแสงสว่าง,Lighting Maintenance Services,item 
จักรเย็บถุงสินค้าพร้อมแท่น,Home Textile Product Machine Parts,
"ค่าบริการกำจัดของเสีย,ค่าบริการกำจัดของเสีย:",Inorganic Waste Collection And Disposal,
Main Contract (CSA)-VO,Construction Services,item -
"U1IH016L24G_Lamp,U1IH016L24G_LAMP",Battery Accessories,
"1000067799;9900;RETAILERS CASH CARD ORDER MANAGEMENT;;PROVIDE 2 STAFFS TO SUPPORT ORDER MANAGEMENT AND VERIFICATION PROCESS,PER MONTH",Other Financial Equipment,
รถสามล้อไฟฟ้า SABAI KP-180 1500W,Electric Pedicab,
grading machine FJ-PD9J-5000G (8 grades),Fruit &vegetable Grading Machine,
FAIRANKS NIJHUIS “VERTICAL TURBINE FIRE PUMP MODEL 12M-4STAGES (NFPA20),Firefighting Equipment & Accessories,
ค่าขนส่ง Fresh DC Lampoon 16-31/05/2025_All Now Logistics_ออลล์ นาว โลจิสติกส์,Road Freight,item -
CDC Fixed charge: CDC Project Team resources of Feb'25_INV1000023283,Contracts,item -
CDC Fixed charge: CDC Project Team resources of Mar'25,Contracts,item -
ค่าบริการรับฝากสินค้า (ม.ค. 68),Express Services,item 
CON-PSUP-C93002TAPWR-C1-350WAC-P/2atal,Other Watch Accessories,
เครื่องให้น้ำพืชสวนพืชไร่แบบโมบาย,Watering Kits,
ก่อสร้าง 23299 ประชาราษฎร์ สาย 2 เก(3),Shops,item -
(PY) ค่าซื้อโฆษณา My Lotus`s 2025_Hyper บน YouTube_Aug`25_BB2025080462,Internet Advertising,brand -|item -|type -
Wireless ultrasound SU-3A,Other Ultrasonic & Electronic Equipment,
Re-Order Premium Silicone foldable bottle; No.PM25-486,Outdoor Water Purification Bottles,
ตู้ G41TZ,Counters,
"FR_VW64 Upper Stem Body (V61513),FR_VW64 UPPER STEM BODY (V61513)",Rubber Mountings,
เพิ่มเติม CON 19639 คลองสาม(1),Shops,item -
"เครื่องตกแต่งและอุปกรณ์สำนักงาน,เครื่องตกแต่งและอุปกรณ์สำนักงาน",Mobile Phone Repair Tools & Equipments,
ID ตู้Identity (สีแดง),Counters,
ก่อสร้าง 08062 อ.ปง(2),Shops,item -
7Delivery Extra Resource Limit big pack,Contracts,item -
HDD2C0700W000L PISTON ASSEMB [TOPML1489],Hydraulic Pumps,
ตัดเปลี่ยนวาล์วระบบ เครื่องทำความเย็น,Hvac Systems & Parts,
Design (Lotus's Eats),Architecture Design,item -
"(TW) CS_""Main Building"" Lotus's new design fee for New Store HP Phetchaburi.",Construction Services,item -
ค่าอะไหล่ซ่อมแซมโดรน,Drones Accessories,
BLADE INSERTS WITH SCREWS I175 [VT00395],Turning Tool,
ค่าบริการรับฝากสินค้า (ธ.ค. 67),Express Services,item 
เครื่องผลิตอากาศฆ่าเชื้อ airguard Titan1,Humidifier,
รถตัดหญ้านั่งขับ เครื่องเบนซิน 23 แรงม้า,Forestry Machinery,
110” inchInteractive Display LED TV,Smart Tvs,
งานปรับปรุงห้องแต่งตัวพนักงาน,Building Maintenance And Repair Services,item 
3ACLUSC,Counters,
Salary and expenses cost MR.Ian Sutcliffe of December' 2024_1000022389,Payroll Accounting Services,item -
เครื่องอิเล็กโทรโพเรชั่น,Lab Drying Equipment,
(YS)_(CS) EXTERNAL WORKS_DRAINAGE WORK_Project HY Mall Improve-5047 Ratchaburi (Universal)_BOQ.076/2024,Drainage System Construction Service,item -
ตู้ G2PLCBUZ,Counters,
Centrifuge 5430 with Rotor eppendorf,Centrifuge Tubes,
"จ่ายเงินประกันการเช่า ชำระในวันลงนามสัญญาเช่าSite : ST0637-MSA Yeak Sai Ri (Koh Tao), Suratthani (แยกทรายรี (เกาะเต่า), สุราษฏร์ธานี) : สั่งจ่าย นาย ธนัชรเศรษฐ บุญชัย",Land Leases,item -|location -|period 1m
"1000022141;9900;SERVICE,DOCUMENT STORAGE SERVICE;;SERVICE,DOCUMENT STORAGE SERVICE SUB SRI THAI  ค่าบริการฝากกล่องเอกสาร ขนาดมาตราฐานกับ ทรัพย์ศรีไทย",Storage Services,
เพิ่มเติม CON 19537 เทียนทะเล 24(1),Shops,item -
เครื่องล้างเครื่องแก้ว,Fruit & Vegetable Detergent,
"36556226A01_ROLLER,36556226A01_ROLLER",Fuser Rollers,
S TOP เสริมพิเศษ,Counters,
(YS) 930047 LLKDC Transformation (Pack House)_Y25/26: Boot washer for Pack House,Other Safety Products,
รถสามล้อไฟฟ้า SABAI KP-180 1200W,Electric Pedicab,
ตู้ G2HLSMDZ,Counters,
"FR_VW64 Cover (V61513),FR_VW64 COVER (V61513)",Other Exterior Accessories,
"ว่าจ้างดำเนินการอบรมการป้องกันภัยไซเบอร์,รักษาความปลอดภัยคอมพิวเตอร์,ระบบปฏิบัติการ และเครือข่ายnetwork โดยมีดังนี้
-Defense in Depth
-Operating System Security
-Network Device Security
-Secure Computing",Temporary Information Technology Networking Specialists,
ค่าอุปกรณ์ขอบเขตงานติดตั้งใหม่,Broadcasting Station Repair Service,
"FR_VW64 Upper Stem Bolt (V61513),FR_VW64 UPPER STEM BOLT (V61513)",Rubber Mountings,
"6-4723 1167 01_Plain bearing M25,6-4723 1167 01_PLAIN BEARING M25",Rod End Bearings,
"ANTISEPTIC 95%,ANTISEPTIC 95%",Herbal Extracts And Essences,
PSC,Counters,
Gantry for KE7412EWB (2Units),Lift Tables,brand -|item -|model -
(CT)  CS_New Store Hyper_Lamnarai > Additional Order Fixture  > Add Accessory  Zone Market License (ref.QT#25-0429 Rev.01),Other Furniture Accessories,brand -|item -|model -
"GreenDii - Cleanbooth,GREENDII - CLEANBOOTH",Other Air Cleaning Equipment,
Main Contractor (Civil and architectural)- (Expense),Construction Services,item -
AC2000 SE-POU-MAIN BOARD 230Volt,Pc Power Supplies,
(TW)(FMRE470C) Consultant fee Ozone system for condensing water of Energy Project Y2025 : H#10007 Hypermarket_ET&OT (Pooled),Other Consulting,item -
ล้างป้ายยาว,Sign Installation And Maintenance Service,item -
งานติดตั้ง Lifeline Safety,Rigging And Scaffolding Services,
Professional Services Audit,Process And Procedures Management Consultation Service,
"(YS) CS_Main Building_Main Work_NS MNS #NT0708 Leab Klong Jek, Nonthaburi_SLH EX WORKS-PARKING",Construction Services,item -
"Graphic design, True Cyber Safe Event in March 2025: Creative idea, POP design production (banner, sticker, tent card, wobbler, mobile stand, standee), visibility (wobbler, static LED, TV frame, banner); Quotation No. QT2025030004",Banners,brand -|item -|model -|size -
Command Panel Dual Line Portio [A1817],Cable Management & Accessories,
ค่าบริการรถจักรยานยนต์ไฟฟ้าพร้อมคนขับ ประจำเดือน เมษายน 2568_อีทราน เรนทัล_O2O,Vehicle Transport Services,
(MP)Software NCR FastLane Release6,Other Financial Equipment,
Km460-22°/3°/15 [70505007],Glass Machinery Parts,
new support plan - L1,Software Development,brand -|item -|manday -|period -
Thinkst Canary 5 Birds Virtual Machine (VM) with unlimited Canary Tokens,Hunting Decoy,
MICRO SWITCH P6-24174 (PIN) [3006022A],Micro Switches,
PRINTRONIX P8C10   1000 LPM CABINET Line Printer,Dot Matrix Printers,
ETROFIT SPOUT Spout 9” FOR SM14-00038,Kitchen Faucet Accessories,
ลูกแบดมินตัน VICTOR CHAMPION No.1SPEED76,Shuttlecocks,
ระบบควบคุมรถยนต์เข้า-ออกโรงงาน,Electronic Control Module,
"(CT)_(CS) Gondola & Shelving_Quo.21/03/2025_New Store MNS ChumchonTon Kwen, Chiang Mai ",Shelving Units,application -|brand -|item -|material -|model -|numberofshelf -|size -
"SB_MBS1001S100J7 PSS METAL FILTER 10"",MBS1001S100J7 PSS METAL FILTER 10""",Ceramic Filters,
ค่าบริการจ้างเหมารายเดือน,Indefinite Delivery Contract,
Dilutor Handle,Obstetrics & Gynecology Equipments,
OUTER SPUNBOND NONWOVEN WHITE COLOR,Nonwoven Fabric,
Collector Phase KDS 2/40PH100007591,Other Watch Accessories,
"(CT)_(CS) Gondola Work for New Store MNS #NT0761 Phu Wiang 2, Khon Kaen",Construction Services,item -
ชุดขาตั้ง tablet,Tablet Pc Stands,
(SS) The First HR service Agency service for 1-30 April'25 Additional,Other Agency Services,item -|period 1m
Re-Order ซองกันน้ำ แบบล็อค 2 ชั้น และ มีฝาปิด ซองสีแดง ตรงกลางสีใส สกรีน ตามแบบ ขนาด 12x29 ซม. ยังไม่พับฝา; No.00039/2025,Promotional Plastics Bags,
ตู้ 5ELDC,Counters,
Loader Machine 1475x1710x3045mm [สั่งทำ],Material Handling Equipment Parts,brand -|item -|model -
Bบำรุง/ขัดขาว/MANUAL BRAKE ASSY|C0252012 NEW UPGRADE MANUAL BRAKE ASSY OF  VTA10,Other Auto Brake Parts,
เครื่องชงนมแพะ TAP5-EZ2-32-F4 230V,Milking Machines,
หมวกตัวหนอนสีขาว (บรรจุ 50 ชิ้น/Pack) (สั่งขั้นต่ำ 20 Pack/Lot),Textile Processing,
"HW-IDEAHUB-S2-86
HUAWEI IdeaHub S2,IHS2-86SA,Intelligent Collaboration Device 86-inch infrared screen,Jade white,overseas",Wireless Infrastructure Equipment,
(YS)Electric Stackerจำนวน 1 Unit,Stackers & Reclaimers,
"VJM125TR-VT-C Rotary pump parts (by set),VJM125TR-VT-C ROTARY PUMP PARTS (BY SET)",Hydraulic Pumps,
3 mm standard needle [HPI-N [HPI-N37501],Sewing Needles,
ค่าบริการขนส่งขี้เถ้าจากเศษไม้สับ,Recycling Of Wood,
เครื่องล้างหญ้าเทียม HONDA 6.5HP,Manual Lawn Aerators,
Collector Phase KESR32-55F/14PH100006326,Other Watch Accessories,
ค่าทดสอบระบบเบรก,Vehicle Inspection Service,
ค่าบริการรถจักรยานยนต์ไฟฟ้าพร้อมคนขับ ประจำเดือน กุมภาพันธ์ 2568_อีทราน เรนทัล_O2O,Vehicle Maintenance And Repair Services,item -
พาดิชั่น PSC,Counters,
(งานเพิ่มครั้งที่1)งานจ้างที่ปรึกษา,Construction Services,item -
"6-566326 01_Bottom bearing housing,6-566326 01_BOTTOM BEARING HOUSING",Housings,
"S&M - Small Crate washing,S&M - SMALL CRATE WASHING",Fruit & Vegetable Washing Equipments,
(TK)ML_E-vent :Booth Recruitment @โรงงาน ตลาด พื้นที่ กรุงเทพและปริมณฑล วันที่ 4 - 9 พ.ค 68 No.QUO007_20250418 ,Exhibiting Services,item 
"(MP) Monthly charge Electric for Data center of TRUE period Dec, 2024 : HO / Charge to Electric Data Center - TRUE Vendor  ",Contracts,item -
งานติดตั้งเยื่อกระดาษระบบน้ำ รื้อของเก่า,Water Prefilters,
"งานเพิ่ม unit 1601 -Egg digital , Ref : 5547033016",Construction Services,item -
"Freezer Label 2.66"" Electronic Shelf Label Black-White",Labelers,
Monthly Base Charge for AP6C5571,Copiers,
7Delivery Extra Resource Digital Wallet,Transportation Last Mile Agents,
